CNF filename: cnfs/1.cnf
Random number seed value: 1441154982542
Number of runs: 30
Number of fitness evaluations per run: 10000

Result Log

Run 1
1	26
2	40
4	42
40	45
63	47
131	48
1079	49

Run 2
1	37
2	48
1849	49

Run 3
1	38
2	40
6	44
133	45
161	47
419	48
667	49

Run 4
1	38
2	43
7	46
333	48
1314	49

Run 5
1	33
5	45
40	46
323	47
423	48
1249	49

Run 6
1	43
10	44
11	45
21	46
83	47
1291	49
1698	50

Run 7
1	45
16	47
292	48
7561	49

Run 8
1	21
2	32
4	46
66	49

Run 9
1	37
5	41
8	43
56	46
109	47
609	48
1628	49
2784	50

Run 10
1	9
3	14
4	25
5	41
6	45
11	46
123	47
1183	48
1304	49
9952	50

Run 11
1	31
2	43
4	47
53	48
1092	49

Run 12
1	34
3	38
11	41
16	43
36	45
77	46
146	47
572	48
1746	49

Run 13
1	16
2	22
3	36
4	37
6	39
13	40
15	41
20	42
29	47
30	48
3518	49

Run 14
1	34
3	38
5	39
6	43
20	44
32	45
178	46
400	49

Run 15
1	14
2	38
3	45
37	46
57	48
5324	49

Run 16
1	14
2	36
5	41
6	43
33	46
382	47
1731	48
2302	49

Run 17
1	14
2	36
5	41
13	44
92	45
120	47
187	48
778	49

Run 18
1	35
2	43
15	44
17	46
478	48
7786	49
8956	50

Run 19
1	27
2	40
11	43
16	45
41	46
159	48
413	49

Run 20
1	45
14	47
187	49

Run 21
1	32
6	39
11	43
14	44
25	45
91	47
211	48
3584	49
6516	50

Run 22
1	18
2	22
3	37
6	44
55	45
306	46
374	50

Run 23
1	16
2	33
4	40
5	45
7	47
71	49

Run 24
1	42
20	44
29	46
337	47
1027	48
4787	49

Run 25
1	11
2	48
3612	49

Run 26
1	5
2	18
3	35
5	43
15	44
34	46
45	48
573	49

Run 27
1	41
7	42
23	43
73	44
92	46
152	47
502	48
955	49

Run 28
1	33
4	42
19	46
32	47
900	48
2459	49

Run 29
1	4
2	14
4	41
11	42
22	43
30	45
59	47
145	48
611	49

Run 30
1	35
2	43
25	46
71	48
2719	49

