CNF File Name: 2.cnf
Random number seed value: 1441568789
Number of runs: 30
Number of fitness evaluations per run: 10000

Results log

Run 1
1	63
19	64
21	66
390	69

Run 2
1	60
2	61
7	64
17	66
167	67
933	69
4223	70

Run 3
1	58
2	61
5	65
19	66
303	68
1630	69
5997	70

Run 4
1	60
3	64
21	65
40	67
293	68
507	69

Run 5
1	63
12	64
42	65
65	66
271	67
372	69

Run 6
1	60
4	64
10	65
56	66
191	67
579	68
5097	69

Run 7
1	57
5	64
37	66
518	67
649	69
8948	70

Run 8
1	58
4	63
14	64
25	65
52	67
1106	68
1655	69

Run 9
1	60
4	61
6	65
62	67
147	68
1344	69

Run 10
1	60
4	63
23	66
367	67
738	68
2726	69
3622	70

Run 11
1	56
2	57
3	58
4	60
5	65
69	69

Run 12
1	56
2	60
7	61
8	62
10	63
12	65
18	66
59	67
2806	68
4667	70

Run 13
1	57
4	65
47	67
896	68
3551	70

Run 14
1	61
3	64
8	65
31	67
208	68
587	69
5104	70

Run 15
1	61
8	62
12	64
49	65
90	67
317	68
3020	69

Run 16
1	58
2	63
28	66
191	67
206	69
2262	70

Run 17
1	61
4	64
19	65
46	66
172	68
3964	69

Run 18
1	65
54	67
72	68
2832	69

Run 19
1	65
131	67
805	68
3796	69

Run 20
1	59
5	60
6	61
7	63
8	64
61	65
75	67
501	69
3821	70

Run 21
1	58
2	60
6	63
9	64
12	65
15	66
130	68
4808	69

Run 22
1	60
4	64
34	67
646	68
5209	69

Run 23
1	62
8	65
47	66
172	68
4260	70

Run 24
1	59
3	61
9	67
454	68
4801	69

Run 25
1	58
2	59
5	60
16	64
41	65
82	66
105	67
154	68
4254	69
8742	70

Run 26
1	56
2	61
10	62
11	64
16	65
44	66
435	67
1573	69

Run 27
1	56
3	61
10	62
14	65
113	66
181	67
570	68
1248	69

Run 28
1	63
25	64
57	65
60	66
195	67
544	68
1199	69
4931	70

Run 29
1	60
7	66
202	67
311	68
3353	69

Run 30
1	64
8	67
794	68
1569	69
2827	70
