CNF File Name: 3.cnf
Random number seed value: 1442806329.0
Number of runs: 30
Number of fitness evaluations per run: 10000

Results log

Run 1
1	169
3	176
46	178
88	179
186	181
264	182
325	184
2183	185
8851	186

Run 2
1	154
2	163
4	167
5	171
10	173
11	178
107	182
371	183
1314	185
3169	186

Run 3
1	167
7	181
75	185
1631	186
2994	187

Run 4
1	162
2	164
4	167
5	171
7	181
138	182
142	183
510	186
1035	187

Run 5
1	173
12	174
38	178
51	180
159	181
845	182
1059	183
4148	185
7064	186

Run 6
1	160
2	164
3	174
12	175
30	177
97	179
225	180
278	183
621	187

Run 7
1	164
2	167
4	177
24	178
83	180
456	183
740	185
4355	188

Run 8
1	172
10	181
132	182
471	188
1139	189
2870	190

Run 9
1	169
3	172
9	173
25	175
40	178
81	180
124	185
3405	186
4515	191

Run 10
1	173
14	176
64	180
80	182
455	183
596	185
788	186
5576	187

Run 11
1	164
3	174
5	176
12	177
23	179
88	180
125	181
227	182
281	186
3894	189

Run 12
1	174
25	177
49	178
203	180
308	184
528	187
8480	189

Run 13
1	165
2	171
8	174
16	178
58	181
257	182
749	184
3082	185
4595	188

Run 14
1	152
2	166
3	169
6	177
57	178
143	179
231	184
443	185
1931	190

Run 15
1	156
2	167
7	171
9	174
15	180
153	183
533	185
887	189

Run 16
1	173
13	175
39	176
65	178
98	182
188	183
314	186
3915	188

Run 17
1	163
4	164
8	172
44	175
94	181
109	185
3573	187

Run 18
1	171
9	176
21	179
141	181
468	182
904	183
923	184
2056	186
7506	187

Run 19
1	168
4	171
7	175
19	178
41	183
70	185
291	190
2298	191

Run 20
1	165
3	173
20	174
32	177
44	179
53	181
98	182
283	185
2489	186
5854	190

Run 21
1	157
2	167
6	168
9	172
10	178
52	182
187	183
389	186
2764	188

Run 22
1	173
12	176
32	179
283	180
440	185
1328	186
2371	190

Run 23
1	160
2	170
7	176
78	178
98	181
161	182
1314	183
3138	188

Run 24
1	163
2	167
4	169
16	176
17	177
233	182
779	183
973	184
1031	185
1603	188
2789	190

Run 25
1	177
66	178
327	179
476	182
492	183
699	186
6258	187

Run 26
1	167
2	171
4	172
16	179
25	181
32	182
916	184
5040	188

Run 27
1	158
2	159
3	166
7	167
8	170
9	174
28	175
50	181
190	182
334	183
1506	187
7814	190

Run 28
1	167
4	168
5	174
24	175
34	182
337	184
710	187
6791	189

Run 29
1	157
2	158
3	163
4	170
6	172
17	173
20	174
38	176
71	180
218	183
1496	189

Run 30
1	168
4	172
5	175
10	176
27	178
86	179
432	180
1186	182
1437	185
1635	186
